Function, Algorithm      , Mean Error           , Std Error            , Best Error           , Median Error          , Worst Error           , Wilcoxon Outcome, p-value
F1      , CCMTO-MTES-DAKG, 2.066102583379285e-08, 4.322408230313116e-08, 1.974457578818034e-24, 3.5750253127588044e-11, 9.78704404183597e-08  , \               , 1.0
F1      , CMAES-EDG      , 3.348417618626783e-30, 7.487289412307453e-30, 0.0                  , 0.0                   , 1.6742088093133915e-29, -               , 0.009700785068229596
F1      , DECC-ERDG      , 9241.453135710319    , 5301.004333751621    , 4455.7141786941365   , 5942.3124004614865    , 15215.72772336689     , +               , 0.007936507936507936
F1      , GTDE           , 131661742946.1665    , 6920510285.24341     , 123294330324.44171   , 135041665126.24033    , 138958365937.23813    , +               , 0.007936507936507936
F1      , SDLSO          , 23574647058.80751    , 1100129938.5478208   , 21847554362.802002   , 23679094097.42662     , 24762411624.850338    , +               , 0.007936507936507936
F2      , CCMTO-MTES-DAKG, 329.75434068540665   , 58.22534098944847    , 266.94170679692303   , 323.10049209522435    , 425.1618183097658     , \               , 1.0
F2      , CMAES-EDG      , 442.1292012645029    , 37.45984963833544    , 386.84126757576934   , 441.77463791818207    , 488.89293267801696    , +               , 0.015873015873015872
F2      , DECC-ERDG      , 1.7885236613340467   , 0.5329476779050892   , 1.1161866816607926   , 1.6178340514118634    , 2.341672732228105     , -               , 0.007936507936507936
F2      , GTDE           , 43275.310127557015   , 1969.6618345587565   , 40641.159312112366   , 43118.671959991814    , 46096.98642163761     , +               , 0.007936507936507936
F2      , SDLSO          , 16515.27513238092    , 136.29223524399322   , 16334.61082579945    , 16476.718372955987    , 16662.395174792924    , +               , 0.007936507936507936
F4      , CCMTO-MTES-DAKG, 1861629.5307406161   , 3861196.038624211    , 16670.754260929      , 107491.59367380869    , 8763268.832098464     , \               , 1.0
F4      , CMAES-EDG      , 48411299834.21416    , 16877217743.82383    , 27376945166.947823   , 52177434850.04791     , 71015088487.70642     , +               , 0.007936507936507936
F4      , DECC-ERDG      , 3921179305010.167    , 1086592691243.8134   , 2874258939397.6694   , 3547040188261.7764    , 5313150839673.168     , +               , 0.007936507936507936
F4      , GTDE           , 1038106933811.4938   , 145011557170.55887   , 813307449706.8608    , 1052517868329.1382    , 1192998409988.2705    , +               , 0.007936507936507936
F4      , SDLSO          , 835219902618.2292    , 97041109580.54141    , 689942874057.2681    , 849151194945.3218     , 948154018235.6102     , +               , 0.007936507936507936
F5      , CCMTO-MTES-DAKG, 2765223.769454842    , 320949.2527876939    , 2350975.8887498435   , 2701214.238883176     , 3222751.340283016     , \               , 1.0
F5      , CMAES-EDG      , 2807416.511069208    , 945814.8776573534    , 2130074.159649348    , 2340137.1556598446    , 4429112.888067063     , ≈               , 0.42063492063492064
F5      , DECC-ERDG      , 26074194.65107391    , 1131141.449330275    , 24683609.51795319    , 26034861.115152467    , 27794008.908173084    , +               , 0.007936507936507936
F5      , GTDE           , 17776352.41981946    , 1911207.3665405505   , 15901363.551277645   , 17338394.361719016    , 20903710.546114232    , +               , 0.007936507936507936
F5      , SDLSO          , 10700526.033942033   , 274224.06753075705   , 10315407.019913819   , 10717976.401893565    , 11084412.097663235    , +               , 0.007936507936507936
F9      , CCMTO-MTES-DAKG, 157119790.63694936   , 39465349.42606747    , 113825380.71816179   , 150031075.9785306     , 204429407.78189844    , \               , 1.0
F9      , CMAES-EDG      , 164779122.08586732   , 25925342.699171286   , 138597410.44498956   , 163601448.92988935    , 204295767.17259356    , ≈               , 0.8412698412698413
F9      , DECC-ERDG      , 614477937.8926237    , 35280184.28830388    , 561220805.4318742    , 623157087.3627214     , 655206127.9826111     , +               , 0.007936507936507936
F9      , GTDE           , 1253155588.202041    , 211062807.83939722   , 1040804006.9273275   , 1255239645.1512477    , 1577041460.6948202    , +               , 0.007936507936507936
F9      , SDLSO          , 788630607.1713467    , 15976155.000368208   , 765384852.7817119    , 794456869.9900411     , 805430276.2088472     , +               , 0.007936507936507936
