Parameter,Setting,Function,Mean Error,Std Error,Best Error,Median Error,Worst Error,p-value vs Baseline,Outcome vs Baseline
n_sub,2,F4,5050432.309823252,7865992.261981728,248356.80849260776,631680.0563089063,18528958.960272126,0.2222222222222222,≈
n_sub,3,F4,5845432450.916555,8534777415.648027,26259.76230688454,117549957.03234266,18943338171.06226,0.2222222222222222,≈
n_sub,5,F4,1850246.0426124334,3837212.397856571,9032.029897864893,106172.75139506672,8708484.082653195,1.0,\
n_sub,7,F4,10398631.502017643,15252878.242309093,203605.83153706125,2786683.981789565,36201397.00077602,0.09523809523809523,≈
n_sub,2,F5,2690062.9503598055,187536.02278576005,2372789.2619700353,2750732.543596852,2839365.464877423,0.2222222222222222,≈
n_sub,3,F5,2107853.1800861973,482486.3538166018,1737900.929387074,1971789.5320147467,2941136.772404967,0.30952380952380953,≈
n_sub,5,F5,2385536.7493179836,357328.1932705045,1921806.6925297012,2345449.2248202455,2911304.922251258,1.0,\
n_sub,7,F5,2321007.379434772,430730.59067242907,1850043.7721943331,2416257.6750269164,2882465.0577911497,1.0,≈
n_sub,2,F6,1065504.5206974647,1513.3439980144367,1063268.3452077187,1065995.3729600955,1066974.562428815,0.42063492063492064,≈
n_sub,3,F6,1065635.8475528653,747.5999225528003,1064729.3843394835,1065345.6636083869,1066614.9390692008,0.30952380952380953,≈
n_sub,5,F6,1064848.165220267,1267.391302691466,1063043.1415539233,1064822.8070604852,1066159.0194138018,1.0,\
n_sub,7,F6,1065161.3431611697,1756.8922199651433,1062523.577494784,1065600.176119645,1067096.4381396447,0.8412698412698413,≈
n_sub,2,F7,180321765.3564423,111264346.86969605,59645379.381574094,136599615.09913027,316555368.49987453,0.6904761904761905,≈
n_sub,3,F7,255087320.62101588,235805621.88847798,27405227.873981714,228035711.26576647,613354585.992462,0.5476190476190477,≈
n_sub,5,F7,157757692.82657224,111762240.56367522,44787731.77399379,197234967.66731608,303732312.36436635,1.0,\
n_sub,7,F7,138587873.0368777,56399898.0527174,69905532.90371451,138450655.5307123,220629818.97591838,1.0,≈
d_max,1,F4,1839629.8988285256,3835300.6963663516,3938.6698167646746,98061.96875778312,8694638.896909267,0.6904761904761905,≈
d_max,2,F4,1850246.0426124334,3837212.397856571,9032.029897864893,106172.75139506672,8708484.082653195,1.0,\
d_max,4,F4,1850246.0426124334,3837212.397856571,9032.029897864893,106172.75139506672,8708484.082653195,1.0,≈
d_max,limitless,F4,1850246.0426124334,3837212.397856571,9032.029897864893,106172.75139506672,8708484.082653195,1.0,≈
d_max,1,F5,2349232.4119545305,300224.0026113774,1887430.034030208,2338952.362284325,2702559.8327693497,1.0,≈
d_max,2,F5,2385536.7493179836,357328.1932705045,1921806.6925297012,2345449.2248202455,2911304.922251258,1.0,\
d_max,4,F5,2385536.7493179836,357328.1932705045,1921806.6925297012,2345449.2248202455,2911304.922251258,1.0,≈
d_max,limitless,F5,2385536.7493179836,357328.1932705045,1921806.6925297012,2345449.2248202455,2911304.922251258,1.0,≈
d_max,1,F6,1065012.2877002978,1584.1008749397856,1063484.2623522514,1064836.7413443432,1067233.892605646,1.0,≈
d_max,2,F6,1064848.165220267,1267.391302691466,1063043.1415539233,1064822.8070604852,1066159.0194138018,1.0,\
d_max,4,F6,1064848.165220267,1267.391302691466,1063043.1415539233,1064822.8070604852,1066159.0194138018,1.0,≈
d_max,limitless,F6,1064848.165220267,1267.391302691466,1063043.1415539233,1064822.8070604852,1066159.0194138018,1.0,≈
d_max,1,F7,138544712.14017278,113144695.51549225,41839587.503938824,98245765.38550016,324817282.4444864,0.8412698412698413,≈
d_max,2,F7,157757692.82657224,111762240.56367522,44787731.77399379,197234967.66731608,303732312.36436635,1.0,\
d_max,4,F7,138518381.78993723,52551326.74021175,85520325.11580177,125707523.15169337,200235662.69998923,1.0,≈
d_max,limitless,F7,69500485.56534217,95530574.98726614,2151662.5071761236,4340065.422964135,210145241.31544867,0.2222222222222222,≈
